shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
lc:RT:35mmFeatureFilm:DigItem,Digital Item,bf:Item,bf:heldBy,Held by,FALSE,FALSE,,,,http://id.loc.gov/vocabulary/organizations,IRIstem,,United States. Library of Congress,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:shelfMark,Call numbers,FALSE,TRUE,bnode,,lc:RT:Identifiers:Shelfmark,,,,,,,
,,,bf:contribution,Collection,FALSE,TRUE,bnode,,lc:RT:Agents:bfContribution,,,,,,bf:Contribution,
,,,bf:electronicLocator,URL of Item,FALSE,TRUE,bnode,,lc:RT:URL,,,,,,,
,,,bf:note,Notes about the Item,FALSE,TRUE,bnode,,lc:RT:Note,,,,,,,
,,,bf:extent,Extent,FALSE,TRUE,bnode,,lc:RT:Extent,,,,,,,
,,,bf:duration,Duration,FALSE,TRUE,literal,,,,,,,,,
,,,bf:digitalCharacteristic,Digital file characteristics,FALSE,TRUE,bnode,,lc:RT:MIBluRayDVD:FileType | lc:RT:MIBluRayDVD:EncFmt,,,,,,,
,,,bf:soundCharacteristic,Sound characteristics,FALSE,TRUE,bnode,,lc:RT:SoundContent | lc:RT:TypeRec | lc:RT:RecMedium | lc:RT:MIBluRayDVD:Playback,,,,,,,
lc:RT:35mmFeatureFilm:Event,Event,bf:Event,rdfs:label,Event,FALSE,TRUE,literal,,,,,,,,,
,,,bf:date,Date of event,FALSE,TRUE,literal,,,,,,,,,
lc:RT:35mmFeatureFilm:Instance,BIBFRAME Instance,bf:Instance,bf:instanceOf,Instance of,FALSE,TRUE,bnode,,lc:RT:35mmFeatureFilm:Work,,,,,,,
,,,bf:title,Title information,TRUE,TRUE,bnode,,lc:RT:InstanceTitle | lc:RT:Title:VarTitle | lc:RT:ParallelTitle,,,,,,,
,,,bf:responsibilityStatement,Statement of responsibility,FALSE,TRUE,literal,,,,,,,,,
,,,bf:editionStatement,Edition statement,FALSE,TRUE,literal,,,,,,,,,
,,,bf:provisionActivity,Provision activity,FALSE,TRUE,bnode,,lc:RT:ProdInfoNew | lc:RT:PubInfoNew | lc:RT:DistInfoNew | lc:RT:ManuInfoNew,,,,,,,
,,,bf:copyrightDate,Copyright date,FALSE,TRUE,literal,,,,,,,,,
,,,bf:originPlace,Place of origin,FALSE,TRUE,,,,http://id.loc.gov/authorities/names,IRIstem,,,,bf:Place,
,,,bf:issuance,Mode of issuance,FALSE,TRUE,,,,http://id.loc.gov/vocabulary/issuance,IRIstem,,single unit,http://id.loc.gov/vocabulary/issuance/mono,bf:Issuance,
,,,bf:identifiedBy,Identifiers,FALSE,TRUE,bnode,,lc:RT:Identifiers:LCCN | lc:RT:Identifiers:Copyright | lc:RT:Identifiers:PubNumber | lc:RT:Identifiers:Oclc | lc:RT:Identifiers:Other | lc:RT:Identifiers:Local,,,,,,,
,,,bf:note,Notes about the Instance,FALSE,TRUE,bnode,,lc:RT:Note,,,,,,,
,,,bf:media,Media type,FALSE,TRUE,,,,http://id.loc.gov/vocabulary/mediaTypes,IRIstem,,projected,http://id.loc.gov/vocabulary/mediaTypes/g,bf:Media,
,,,bf:carrier,Carrier type,FALSE,TRUE,,,,http://id.loc.gov/vocabulary/carriers,IRIstem,,film reel,http://id.loc.gov/vocabulary/carriers/mr,bf:Carrier,
,,,bf:dimensions,Dimensions,FALSE,TRUE,literal,,,,,,,,,
,,,bf:extent,Physical description,,TRUE,bnode,,lc:RT:ExtentExtra,,,,,,,
,,,bf:electronicLocator,URL of Instance,FALSE,TRUE,bnode,,lc:RT:URL,,,,,,,
,,,bf:contribution,Contribution,FALSE,TRUE,bnode,,lc:RT:Agents:Contribution,,,,,,bf:Contribution,
