shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,bf:generation,Recording generation,false,true,,,,http://id.loc.gov/vocabulary/mgeneration,IRIstem,,,,bf:Generation,
,,,bf:polarity,Polarity,false,true,,,,http://id.loc.gov/vocabulary/mpolarity,IRIstem,,,,bf:Polarity,
,,,bf:colorContent,Color content,false,true,,,,http://id.loc.gov/vocabulary/mcolor,IRIstem,,,,bf:ColorContent,
,,,bf:soundContent,Sound content,false,true,,,,http://id.loc.gov/vocabulary/msoundcontent,IRIstem,,,,bf:SoundContent,
,,,bf:soundCharacteristic,Sound characteristics,false,true,bnode,,lc:RT:bf2:TypeRec2 | lc:RT:bf2:RecMedium | lc:RT:bf2:MIBluRayDVD:Playback,,,,,,,
,,,bf:projectionCharacteristic,Projection characteristics,false,true,bnode,,lc:RT:bf2:ProjFormat | lc:RT:bf2:ProjSpeed,,,,,,,
,,,bf:aspectRatio,Aspect ratio,false,true,,,,http://id.loc.gov/vocabulary/maspect,IRIstem,,,,bf:AspectRatio,
,,,bf:aspectRatio,Aspect ratio (numeric),false,true,bnode,,lc:RT:bf2:MIBluRayDVD:Aspect,,,,,,,
,,,bf:supplementaryContent,Supplementary content,false,true,,,,http://id.loc.gov/vocabulary/msupplcont,IRIstem,,,,bf:SupplementaryContent,
,,,bf:digitalCharacteristic,Digital file characteristics,false,true,bnode,,lc:RT:bf2:MIBluRayDVD:FileType | lc:RT:bf2:MIBluRayDVD:EncFmt,,,,,,,
lc:RT:bf2:35mmFeatureFilm:Work,BIBFRAME Work,bf:Work,bf:expressionOf,Expression of [search for a Hub],,,bnode,,,https://preprod-8080.id.loc.gov/resources/hubs/,IRIstem,,,,bf:Hub,https://bibframe.org/view/documentation-marva-manual/work-description/expression-hub.md
,,,bf:title,Title information,true,true,bnode,,lc:RT:bf2:WorkTitle | lc:RT:bf2:Title:VarTitle | lc:RT:bf2:ParallelTitle,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/title-information.md
,,,bf:originPlace,Place of origin of the Work,false,true,,,,http://id.loc.gov/authorities/names,IRIstem,,,,bf:Place,https://bibframe.org/view/documentation-marva-manual/work-description/country-of-origin.md
,,,bf:originDate,Date of Work,false,true,literal,,,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/date-of-work.md
,,,bf:temporalCoverage,(Time) coverage of the content,false,true,literal,,,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/time-coverage.md
,,,bf:identifiedBy,Identifiers,false,true,bnode,,lc:RT:bf2:Identifiers:Eidr | lc:RT:bf2:Identifiers:Copyright | lc:RT:bf2:Identifiers:LCCN,,,,,,,
,,,bf:intendedAudience,Intended audience,false,true,bnode,,lc:RT:bf2:Audience,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/intended-audience.md
,,,bf:note,Notes about the Work,false,true,bnode,,lc:RT:bf2:Note,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/notes-about-work.md
,,,bf:tableOfContents,Contents,false,true,bnode,,lc:RT:bf2:Contents,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/contents.md
,,,bf:summary,Summary,false,true,bnode,,lc:RT:bf2:Summary,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/summary.md
,,,bf:genreForm,Genre/Form,false,true,bnode,,lc:RT:bf2:Form,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/genre-form.md
,,,bf:geographicCoverage,Geographic coverage,false,true,bnode,,lc:RT:bf2:Form:Geog,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/geographic-coverage.md
,,,bf:subject,Subjects,false,true,bnode,,lc:RT:bf2:Components | lc:RT:bf2:Topic:Place:Components | lc:RT:bf2:Topic:SubjectWork,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/subjects.md
,,,bf:contribution,Contributors,false,true,bnode,,lc:RT:bf2:Agents:Contribution,,,,,,bf:Contribution,https://bibframe.org/view/documentation-marva-manual/work-description/contributors.md
,,,bf:contribution,Creator of Work,false,true,bnode,,lc:RT:bflc:Agents:PrimaryContribution,,,,,,bf:PrimaryContribution,https://bibframe.org/view/documentation-marva-manual/work-description/creator-of-work.md
,,,bf:content,Content type,false,true,,,,http://id.loc.gov/vocabulary/contentTypes,IRIstem,,two-dimensional moving image,http://id.loc.gov/vocabulary/contentTypes/tdi,bf:Content,https://bibframe.org/view/documentation-marva-manual/work-description/content-type.md
,,,bf:language,"Language (008 [1st], 041 $a [others])",false,true,,,,http://id.loc.gov/vocabulary/languages,IRIstem,,,,bf:Language,https://bibframe.org/view/documentation-marva-manual/work-description/language.md
